day,start,end,start_time,end_time,room,cleared,title,description
1,11:00 AM,1:00 PM,1100,1300,community-stage,?,CelloKat,
1,1:00 PM,3:00 PM,1300,1500,community-stage,?,Sharon,
1,3:00 PM,5:00 PM,1500,1700,community-stage,?,Tonario Orchestra,
1,5:00 PM,7:00 PM,1700,1900,community-stage,?,Non Sweet,
1,7:00 PM,9:00 PM,1900,2100,community-stage,?,Pheobe,
1,9:00 PM,11:00 PM,2100,2300,community-stage,?,The Ocarina Girl,
2,11:00 AM,1:00 PM,1100,1300,community-stage,?,Sleeptalkers,
2,1:00 PM,3:00 PM,1300,1500,community-stage,?,S4X,
2,3:00 PM,5:00 PM,1500,1700,community-stage,?,Katori Shinto Ryu,
2,5:00 PM,7:00 PM,1700,1900,community-stage,?,Super Soul Bros,
2,7:00 PM,9:00 PM,1900,2100,community-stage,?,Stephanie Yanez,
2,9:00 PM,11:00 PM,2100,2300,community-stage,?,Colin & Steve's LoFi Living Room,
3,11:00 AM,1:00 PM,1100,1300,community-stage,?,G-Moto,
3,1:00 PM,3:00 PM,1300,1500,community-stage,?,Candy Bomber,
3,5:00 PM,7:00 PM,1700,1900,community-stage,?,Igiko Pop,
3,7:00 PM,9:00 PM,1900,2100,community-stage,?,The Corps Dance Crew,
4,11:00 AM,1:00 PM,1100,1300,community-stage,?,Non Sweet,
